"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL115418";"";"";"Small molecule";"";"359.86";"7";"7";"2.58";"54.57";"6";"1";"0";"8";"N";"0.67";"None";"8.33";"2.67";"1.69";"3";"MOL";"-1";"25";"6";"1";"0";"359.1513";"-2.54";"NEUTRAL";"C18H22ClN5O";"CN(CCCn1nc2ccccn2c1=O)CCNc1cccc(Cl)c1";"QHNMMROQMFUTFO-UHFFFAOYSA-N"
"CHEMBL8642";"";"";"Small molecule";"";"195.26";"14";"43";"1.59";"44.48";"3";"1";"0";"4";"N";"0.79";"None";"9.91";"1.49";"-0.91";"1";"MOL";"-1";"14";"3";"2";"0";"195.1259";"-0.05";"BASE";"C11H17NO2";"COc1ccc(OC)c(CC(C)N)c1";"LATVFYDIBMDBSY-UHFFFAOYSA-N"
"CHEMBL543459";"";"";"Small molecule";"";"281.83";"2";"2";"3.30";"23.47";"2";"1";"0";"2";"N";"0.86";"10.56";"9.55";"3.36";"1.43";"1";"MOL";"-1";"18";"2";"1";"0";"245.1780";"0.52";"BASE";"C16H24ClNO";"CCCN1CCC[C@H]2c3c(O)cccc3CC[C@@H]21.Cl";"GLMIDQMUGFEEIL-DFQHDRSWSA-N"
"CHEMBL541621";"";"";"Small molecule";"";"328.29";"5";"18";"3.37";"23.47";"2";"1";"0";"5";"N";"0.86";"9.82";"10.72";"3.54";"1.47";"1";"MOL";"-1";"18";"2";"1";"0";"247.1936";"-0.31";"BASE";"C16H26BrNO";"Br.CCCN(CCC)[C@H]1CCc2cccc(O)c2C1";"BATPBOZTBNNDLN-UQKRIMTDSA-N"
"CHEMBL263084";"";"";"Small molecule";"";"341.82";"2";"6";"0.68";"92.42";"6";"1";"0";"2";"N";"0.86";"10.08";"6.58";"1.28";"1.22";"2";"MOL";"-1";"22";"7";"2";"0";"341.0713";"-1.85";"NEUTRAL";"C13H16ClN5O2S";"CN1CCN(c2nc3ccc(S(N)(=O)=O)cc3nc2Cl)CC1";"JJXPRPBMQBDUPE-UHFFFAOYSA-N"
"CHEMBL2368632";"";"";"Small molecule";"";"314.27";"2";"2";"3.37";"23.47";"2";"1";"0";"6";"N";"0.81";"10.48";"9.42";"3.31";"1.51";"1";"MOL";"-1";"17";"2";"1";"0";"233.1780";"0.05";"BASE";"C15H24BrNO";"Br.CCCN(CCC)[C@H]1C[C@H]1c1ccccc1O";"DOXBCNMQFJOJQY-IODNYQNNSA-N"
"CHEMBL100006";"";"";"Small molecule";"";"209.29";"1";"1";"1.90";"44.48";"3";"1";"0";"4";"N";"0.82";"None";"9.92";"2.00";"-0.40";"1";"MOL";"-1";"15";"3";"2";"0";"209.1416";"0.20";"BASE";"C12H19NO2";"COc1cc(C)c(OC)c(CC(C)N)c1";"XZYCPUFGPVSHSQ-UHFFFAOYSA-N"
"CHEMBL117439";"";"";"Small molecule";"";"399.88";"7";"7";"2.28";"62.85";"6";"0";"0";"5";"N";"0.66";"None";"5.44";"2.57";"2.56";"3";"MOL";"-1";"28";"7";"0";"0";"399.1462";"-2.15";"NEUTRAL";"C20H22ClN5O2";"CC1C(=O)N(c2cccc(Cl)c2)CCN1CCCn1nc2ccccn2c1=O";"UBRZXJVSJKXZNI-UHFFFAOYSA-N"
"CHEMBL1743925";"";"";"Small molecule";"";"280.76";"2";"6";"1.05";"50.28";"5";"1";"0";"2";"N";"0.86";"None";"8.74";"1.31";"-0.05";"2";"MOL";"-1";"18";"5";"1";"0";"244.1324";"-1.16";"BASE";"C13H17ClN4O";"COc1cccc2nc(N3CCNCC3)cnc12.Cl";"BMOLONJZIKXASD-UHFFFAOYSA-N"
"CHEMBL103331";"";"";"Small molecule";"";"225.29";"3";"6";"1.60";"53.71";"4";"1";"0";"5";"N";"0.83";"None";"9.89";"1.33";"-1.05";"1";"MOL";"-1";"16";"4";"2";"0";"225.1365";"0.18";"BASE";"C12H19NO3";"COc1cc(CC(C)N)c(OC)c(OC)c1";"MJIBJXKJBRLSQA-UHFFFAOYSA-N"
"CHEMBL16451";"";"";"Small molecule";"";"165.24";"8";"17";"1.58";"35.25";"2";"1";"0";"3";"Y";"0.74";"None";"9.94";"1.65";"-0.77";"1";"MOL";"-1";"12";"2";"2";"0";"165.1154";"-0.22";"BASE";"C10H15NO";"COc1ccccc1CC(C)N";"VBAHFEPKESUPDE-UHFFFAOYSA-N"
"CHEMBL280855";"";"";"Small molecule";"";"195.26";"5";"5";"1.59";"44.48";"3";"1";"0";"4";"N";"0.79";"None";"9.92";"1.49";"-0.91";"1";"MOL";"-1";"14";"3";"2";"0";"195.1259";"-0.07";"BASE";"C11H17NO2";"COc1cccc(CC(C)N)c1OC";"DHLWJXGSZDJWKK-UHFFFAOYSA-N"
"CHEMBL6801";"";"";"Small molecule";"";"258.28";"2";"6";"0.49";"78.35";"5";"2";"0";"2";"N";"0.82";"1.03";"9.09";"-1.32";"-1.32";"2";"MOL";"-1";"19";"6";"2";"0";"258.1117";"-0.98";"ZWITTERION";"C13H14N4O2";"O=C(O)C1CN(c2cnc3ccccc3n2)CCN1";"LOLYJHDVRZQDPI-UHFFFAOYSA-N"
"CHEMBL176995";"";"";"Small molecule";"";"247.38";"1";"2";"3.67";"12.47";"2";"0";"0";"7";"N";"0.73";"None";"9.81";"3.76";"1.38";"1";"MOL";"-1";"18";"2";"0";"0";"247.1936";"-0.38";"BASE";"C16H25NO";"CCCN(CCC)C1CC1c1ccccc1OC";"NHIZHIQMHLZUQZ-UHFFFAOYSA-N"
"CHEMBL367191";"";"";"Small molecule";"";"247.38";"1";"3";"3.67";"12.47";"2";"0";"0";"7";"N";"0.73";"None";"9.98";"3.76";"1.23";"1";"MOL";"-1";"18";"2";"0";"0";"247.1936";"-0.52";"BASE";"C16H25NO";"CCCN(CCC)C1CC1c1cccc(OC)c1";"CDBKSCIFVPNNTJ-UHFFFAOYSA-N"
"CHEMBL282734";"";"";"Small molecule";"";"195.26";"10";"14";"1.59";"44.48";"3";"1";"0";"4";"N";"0.79";"None";"9.96";"1.49";"-0.95";"1";"MOL";"-1";"14";"3";"2";"0";"195.1259";"-0.05";"BASE";"C11H17NO2";"COc1ccc(CC(C)N)c(OC)c1";"DQWOZMUBHQPFFF-UHFFFAOYSA-N"
"CHEMBL553378";"";"";"Small molecule";"";"311.90";"2";"2";"4.01";"23.47";"2";"1";"0";"5";"N";"0.88";"9.85";"10.78";"4.21";"2.13";"1";"MOL";"-1";"20";"2";"1";"0";"275.2249";"0.50";"BASE";"C18H30ClNO";"CCCN(CCC)C1Cc2c(O)cccc2CC1(C)C.Cl";"HTZPTYGNZPFJRQ-UHFFFAOYSA-N"
"CHEMBL8600";"DOM";"2-(2,5-DIMETHOXY-4-METHYL-PHENYL)-1-METHYL-ETHYLAMINE";"Small molecule";"";"209.29";"17";"84";"1.90";"44.48";"3";"1";"0";"4";"N";"0.82";"None";"9.94";"2.00";"-0.42";"1";"MOL";"-1";"15";"3";"2";"0";"209.1416";"0.14";"BASE";"C12H19NO2";"COc1cc(CC(C)N)c(OC)cc1C";"NTJQREUGJKIARY-UHFFFAOYSA-N"
"CHEMBL3245291";"";"";"Small molecule";"";"416.48";"4";"5";"4.21";"19.03";"1";"1";"0";"1";"N";"0.71";"None";"8.56";"4.05";"2.86";"3";"MOL";"-1";"23";"2";"1";"0";"300.1626";"0.93";"BASE";"C25H24N2O4";"CN1C[C@H](c2ccccc2)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)/C=C\C(=O)O";"QHVLEEQTUJJDTQ-PIGXHTMWSA-N"
"CHEMBL336500";"";"";"Small molecule";"";"179.22";"1";"1";"1.23";"52.32";"3";"1";"0";"3";"Y";"0.71";"None";"7.49";"1.02";"0.67";"1";"MOL";"-1";"13";"3";"2";"0";"179.0946";"-0.23";"NEUTRAL";"C10H13NO2";"COc1ccccc1C(=O)C(C)N";"QIGBMIQDGZPMQN-UHFFFAOYSA-N"
"CHEMBL128431";"";"";"Small molecule";"";"167.18";"1";"1";"1.36";"43.09";"2";"1";"0";"2";"Y";"0.68";"None";"7.56";"1.32";"0.93";"1";"MOL";"-1";"12";"2";"2";"0";"167.0746";"-0.75";"NEUTRAL";"C9H10FNO";"CC(N)C(=O)c1ccc(F)cc1";"PRIYXVFZRRKLEK-UHFFFAOYSA-N"
"CHEMBL266432";"";"";"Small molecule";"";"229.29";"2";"6";"0.62";"67.07";"5";"2";"0";"1";"N";"0.75";"None";"8.78";"1.23";"-0.16";"2";"MOL";"-1";"17";"5";"3";"0";"229.1327";"-0.87";"BASE";"C12H15N5";"Nc1nc2ccccc2nc1N1CCNCC1";"IUESNHYFGNOLAM-UHFFFAOYSA-N"
"CHEMBL540354";"";"";"Small molecule";"";"314.27";"2";"2";"3.37";"23.47";"2";"1";"0";"6";"N";"0.81";"10.48";"9.42";"3.31";"1.51";"1";"MOL";"-1";"17";"2";"1";"0";"233.1780";"0.05";"BASE";"C15H24BrNO";"Br.CCCN(CCC)[C@@H]1C[C@@H]1c1ccccc1O";"DOXBCNMQFJOJQY-DTPOWOMPSA-N"
"CHEMBL337382";"";"";"Small molecule";"";"161.20";"1";"1";"1.42";"35.25";"2";"1";"0";"1";"Y";"0.68";"None";"9.11";"1.09";"-0.61";"1";"MOL";"-1";"12";"2";"2";"0";"161.0841";"1.17";"BASE";"C10H11NO";"NCC1=CCOc2ccccc21";"WRQGQTBQEWMFLP-UHFFFAOYSA-N"
"CHEMBL115382";"";"";"Small molecule";"";"399.93";"7";"7";"3.00";"45.78";"6";"0";"0";"5";"N";"0.66";"None";"7.72";"4.03";"3.54";"3";"MOL";"-1";"28";"6";"0";"0";"399.1826";"-2.12";"NEUTRAL";"C21H26ClN5O";"CC(CN1CCN(c2cccc(Cl)c2)C(C)C1)Cn1nc2ccccn2c1=O";"LOEADZDEGAOQMK-UHFFFAOYSA-N"
"CHEMBL1743987";"";"";"Small molecule";"";"285.18";"3";"7";"1.69";"41.05";"4";"1";"0";"1";"N";"0.83";"None";"8.75";"2.07";"0.71";"2";"MOL";"-1";"17";"4";"1";"0";"248.0829";"-1.81";"BASE";"C12H14Cl2N4";"Cl.Clc1ccc2nc(N3CCNCC3)cnc2c1";"DDOUKHPYRWZNCX-UHFFFAOYSA-N"
"CHEMBL99959";"";"";"Small molecule";"";"179.22";"1";"2";"1.23";"52.32";"3";"1";"0";"3";"Y";"0.71";"None";"7.58";"1.02";"0.62";"1";"MOL";"-1";"13";"3";"2";"0";"179.0946";"-0.12";"NEUTRAL";"C10H13NO2";"COc1ccc(C(=O)C(C)N)cc1";"OAXMCCKHVVXIQA-UHFFFAOYSA-N"
"CHEMBL1202243";"";"";"Small molecule";"";"272.19";"2";"5";"1.86";"32.26";"2";"2";"0";"2";"Y";"0.75";"10.51";"9.70";"1.97";"-0.01";"1";"MOL";"-1";"14";"2";"2";"0";"191.1310";"0.18";"BASE";"C12H18BrNO";"Br.CCNC1CCc2cccc(O)c2C1";"WGRORNKXOKJIHG-UHFFFAOYSA-N"
"CHEMBL20167";"";"";"Small molecule";"";"202.30";"1";"2";"2.58";"19.03";"1";"1";"0";"3";"Y";"0.81";"None";"9.59";"2.82";"0.64";"2";"MOL";"-1";"15";"2";"1";"0";"202.1470";"-0.46";"BASE";"C13H18N2";"Cc1cccc2c(CCN(C)C)c[nH]c12";"PQSFTUCFMWBITK-UHFFFAOYSA-N"
"CHEMBL30336";"";"";"Small molecule";"";"225.29";"9";"14";"1.60";"53.71";"4";"1";"0";"5";"N";"0.83";"None";"10.00";"1.33";"-1.13";"1";"MOL";"-1";"16";"4";"2";"0";"225.1365";"0.45";"BASE";"C12H19NO3";"COc1cc(CC(C)N)cc(OC)c1OC";"WGTASENVNYJZBK-UHFFFAOYSA-N"
"CHEMBL103700";"";"";"Small molecule";"";"209.24";"3";"16";"1.31";"53.71";"4";"1";"0";"3";"N";"0.82";"None";"9.93";"1.27";"-1.15";"1";"MOL";"-1";"15";"4";"2";"0";"209.1052";"0.47";"BASE";"C11H15NO3";"COc1cc2c(cc1CC(C)N)OCO2";"GPVJAXJRAZVITB-UHFFFAOYSA-N"
"CHEMBL20860";"";"";"Small molecule";"";"202.30";"1";"1";"2.58";"19.03";"1";"1";"0";"3";"Y";"0.81";"None";"9.55";"2.82";"0.68";"2";"MOL";"-1";"15";"2";"1";"0";"202.1470";"-0.55";"BASE";"C13H18N2";"Cc1ccc2c(CCN(C)C)c[nH]c2c1";"ODOKWPMMQYDQIA-UHFFFAOYSA-N"
"CHEMBL337825";"";"";"Small molecule";"";"190.25";"9";"17";"1.68";"51.04";"2";"2";"0";"3";"Y";"0.77";"None";"9.74";"1.33";"-0.93";"2";"MOL";"-1";"14";"3";"3";"0";"190.1106";"0.09";"BASE";"C11H14N2O";"COc1ccc2c(CCN)c[nH]c2c1";"VOCGEKMEZOPDFP-UHFFFAOYSA-N"
"CHEMBL541802";"";"";"Small molecule";"";"297.87";"3";"7";"3.93";"23.47";"2";"1";"0";"5";"N";"0.87";"10.04";"10.95";"3.79";"1.63";"1";"MOL";"-1";"19";"2";"1";"0";"261.2093";"0.29";"BASE";"C17H28ClNO";"CCCN(CCC)[C@@H]1CCc2cccc(O)c2[C@H]1C.Cl";"VEIZGNXHIQVBNX-NQQJLSKUSA-N"
